execTime = 0; time = 0
execTime = 0.0108305; time = 2.0393
execTime = 0.0103986; time = 2.0497
execTime = 0.0112177; time = 2.06091
execTime = 0.0117483; time = 2.07266
execTime = 0.0114599; time = 2.08412
execTime = 0.0110304; time = 2.09515
execTime = 0.0108543; time = 2.10601
execTime = 0.0110604; time = 2.11707
execTime = 0.0107916; time = 2.12786
execTime = 0.010697; time = 2.13856
execTime = 0.0109308; time = 2.14949
execTime = 0.00971605; time = 2.1592
execTime = 0.0101072; time = 2.16931
execTime = 0.00987064; time = 2.17918
execTime = 0.0104105; time = 2.18959
execTime = 0.00932598; time = 2.19892
execTime = 0.00957083; time = 2.20849
execTime = 0.0103053; time = 2.21879
execTime = 0.0100936; time = 2.22889
execTime = 0.00944326; time = 2.23833
execTime = 0.0091502; time = 2.24748
execTime = 0.0147873; time = 2.26227
execTime = 0.0122248; time = 2.27449
execTime = 0.00953495; time = 2.28403
execTime = 0.00958389; time = 2.29361
execTime = 0.00944892; time = 2.30306
execTime = 0.00921371; time = 2.31227
execTime = 0.00907624; time = 2.32135
execTime = 0.00886309; time = 2.33021
execTime = 0.00855117; time = 2.33876
execTime = 0.0087643; time = 2.34753
execTime = 0.00867983; time = 2.35621
execTime = 0.00887911; time = 2.36509
execTime = 0.00909946; time = 2.37419
execTime = 0.00927797; time = 2.38347
execTime = 0.00942898; time = 2.39289
execTime = 0.00994262; time = 2.40284
execTime = 0.00946757; time = 2.4123
execTime = 0.00932039; time = 2.42163
execTime = 0.00909612; time = 2.43072
execTime = 0.00926713; time = 2.43999
execTime = 0.00901511; time = 2.449
execTime = 0.00901649; time = 2.45802
execTime = 0.00979715; time = 2.46782
execTime = 0.00953646; time = 2.47735
execTime = 0.0094263; time = 2.48678
execTime = 0.00903782; time = 2.49582
execTime = 0.00881349; time = 2.50463
execTime = 0.00898851; time = 2.51362
execTime = 0.0095081; time = 2.52313
execTime = 0.00968642; time = 2.53281
execTime = 0.00950849; time = 2.54232
execTime = 0.00908799; time = 2.55141
execTime = 0.00931162; time = 2.56072
execTime = 0.0102597; time = 2.57098
execTime = 0.00978621; time = 2.58077
execTime = 0.00883489; time = 2.5896
execTime = 0.00906879; time = 2.59867
execTime = 0.00963848; time = 2.60831
execTime = 0.00948763; time = 2.6178
execTime = 0.0089677; time = 2.62677
execTime = 0.00914808; time = 2.63591
execTime = 0.0095387; time = 2.64545
execTime = 0.00915491; time = 2.65461
execTime = 0.00886502; time = 2.66347
execTime = 0.00989954; time = 2.67337
execTime = 0.00949593; time = 2.68287
execTime = 0.00862053; time = 2.69149
execTime = 0.00874974; time = 2.70024
execTime = 0.00903928; time = 2.70928
execTime = 0.00883184; time = 2.71811
execTime = 0.00939845; time = 2.72751
execTime = 0.00886752; time = 2.73638
execTime = 0.00893764; time = 2.74531
execTime = 0.00950351; time = 2.75482
execTime = 0.00879946; time = 2.76362
execTime = 0.00918638; time = 2.7728
execTime = 0.00972691; time = 2.78253
execTime = 0.00899401; time = 2.79152
execTime = 0.00991878; time = 2.80144
execTime = 0.00914683; time = 2.81059
execTime = 0.00928705; time = 2.81988
execTime = 0.00973238; time = 2.82961
execTime = 0.00916317; time = 2.83877
execTime = 0.0103309; time = 2.8491
execTime = 0.00940969; time = 2.85851
execTime = 0.00924121; time = 2.86775
execTime = 0.00978629; time = 2.87754
execTime = 0.00928902; time = 2.88683
execTime = 0.00992697; time = 2.89676
execTime = 0.009144; time = 2.9059
execTime = 0.0100212; time = 2.91592
execTime = 0.00919945; time = 2.92512
execTime = 0.00948142; time = 2.9346
execTime = 0.00909718; time = 2.9437
execTime = 0.00951774; time = 2.95322
execTime = 0.00924905; time = 2.96247
execTime = 0.00929751; time = 2.97176
execTime = 0.00954734; time = 2.98131
execTime = 0.00907866; time = 2.99039
execTime = 0.00989336; time = 3.00028
execTime = 0.00950686; time = 3.00979
execTime = 0.0088526; time = 3.01864
execTime = 0.0082417; time = 3.02688
execTime = 0.00890082; time = 3.03578
execTime = 0.00816881; time = 3.04395
execTime = 0.00915845; time = 3.05311
execTime = 0.00824182; time = 3.06135
execTime = 0.00938106; time = 3.07073
execTime = 0.00822915; time = 3.07896
execTime = 0.00872375; time = 3.08769
execTime = 0.00826782; time = 3.09596
execTime = 0.00890342; time = 3.10486
execTime = 0.00824194; time = 3.1131
execTime = 0.00897414; time = 3.12207
execTime = 0.00822476; time = 3.1303
execTime = 0.00922701; time = 3.13953
